Areaname	STCOU	IPE010206F	IPE010206D	IPE010206N1	IPE010206N2	IPE010207F	IPE010207D	IPE010207N1	IPE010207N2	IPE010208F	IPE010208D	IPE010208N1	IPE010208N2	IPE010209F	IPE010209D	IPE010209N1	IPE010209N2	IPE110195F	IPE110195D	IPE110195N1	IPE110195N2	IPE110197F	IPE110197D	IPE110197N1	IPE110197N2	IPE110198F	IPE110198D	IPE110198N1	IPE110198N2	IPE110199F	IPE110199D	IPE110199N1	IPE110199N2	IPE110200F	IPE110200D	IPE110200N1	IPE110200N2	IPE110201F	IPE110201D	IPE110201N1	IPE110201N2
Putnam, MO	29171	0	31308	0000	0000	0	30791	0000	0000	0	32887	0000	0000	0	31864	0000	0000	0	980	0000	0000	0	866	0000	0000	0	832	0000	0000	0	810	0000	0000	0	780	0000	0000	0	819	0000	0000
Ralls, MO	29173	0	42970	0000	0000	0	42081	0000	0000	0	47865	0000	0000	0	47890	0000	0000	0	1156	0000	0000	0	1080	0000	0000	0	894	0000	0000	0	874	0000	0000	0	823	0000	0000	0	892	0000	0000
Randolph, MO	29175	0	34715	0000	0000	0	36556	0000	0000	0	37684	0000	0000	0	33980	0000	0000	0	4008	0000	0000	0	3712	0000	0000	0	3107	0000	0000	0	2689	0000	0000	0	2922	0000	0000	0	3097	0000	0000
Ray, MO	29177	0	48742	0000	0000	0	50761	0000	0000	0	51965	0000	0000	0	51326	0000	0000	0	2366	0000	0000	0	2323	0000	0000	0	2129	0000	0000	0	1837	0000	0000	0	1754	0000	0000	0	1894	0000	0000
Reynolds, MO	29179	0	29625	0000	0000	0	29820	0000	0000	0	30482	0000	0000	0	29519	0000	0000	0	1593	0000	0000	0	1558	0000	0000	0	1405	0000	0000	0	1312	0000	0000	0	1308	0000	0000	0	1378	0000	0000
Ripley, MO	29181	0	26675	0000	0000	0	27961	0000	0000	0	27737	0000	0000	0	28141	0000	0000	0	3916	0000	0000	0	3684	0000	0000	0	3351	0000	0000	0	2899	0000	0000	0	2718	0000	0000	0	2791	0000	0000
St. Charles, MO	29183	0	65059	0000	0000	0	67611	0000	0000	0	72428	0000	0000	0	68669	0000	0000	0	12896	0000	0000	0	12804	0000	0000	0	12323	0000	0000	0	12737	0000	0000	0	11967	0000	0000	0	12702	0000	0000
St. Clair, MO	29185	0	29165	0000	0000	0	30283	0000	0000	0	31312	0000	0000	0	30457	0000	0000	0	1879	0000	0000	0	1730	0000	0000	0	1699	0000	0000	0	1596	0000	0000	0	1614	0000	0000	0	1747	0000	0000
Ste. Genevieve, MO	29186	0	46248	0000	0000	0	47393	0000	0000	0	50542	0000	0000	0	48963	0000	0000	0	1651	0000	0000	0	1649	0000	0000	0	1707	0000	0000	0	1635	0000	0000	0	1458	0000	0000	0	1519	0000	0000
St. Francois, MO	29187	0	36533	0000	0000	0	36849	0000	0000	0	37803	0000	0000	0	38195	0000	0000	0	8911	0000	0000	0	8587	0000	0000	0	7947	0000	0000	0	7829	0000	0000	0	7328	0000	0000	0	7646	0000	0000
St. Louis, MO	29189	0	53349	0000	0000	0	56864	0000	0000	0	57782	0000	0000	0	56939	0000	0000	0	73757	0000	0000	0	72453	0000	0000	0	73044	0000	0000	0	79022	0000	0000	0	68935	0000	0000	0	70737	0000	0000
Saline, MO	29195	0	36354	0000	0000	0	37265	0000	0000	0	38653	0000	0000	0	38503	0000	0000	0	3163	0000	0000	0	2804	0000	0000	0	2760	0000	0000	0	2764	0000	0000	0	2676	0000	0000	0	2875	0000	0000
Schuyler, MO	29197	0	30160	0000	0000	0	31250	0000	0000	0	29924	0000	0000	0	30948	0000	0000	0	769	0000	0000	0	740	0000	0000	0	662	0000	0000	0	617	0000	0000	0	611	0000	0000	0	633	0000	0000
Scotland, MO	29199	0	31741	0000	0000	0	32677	0000	0000	0	35981	0000	0000	0	33256	0000	0000	0	957	0000	0000	0	864	0000	0000	0	850	0000	0000	0	806	0000	0000	0	755	0000	0000	0	745	0000	0000
